"DEPARTAMENTO","MUNICIPIO","CODIGO DANE","ARMAS MEDIOS","FECHA HECHO","GENERO","GRUPO ETARÍO","DESCRIPCIÓN CONDUCTA","CANTIDAD"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","17/04/2025","FEMENINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","06/07/2013","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","20/11/2013","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","02/12/2013","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","12/01/2014","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","10/02/2014","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","11/02/2014","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","26/02/2014","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","22/05/2014","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","01/06/2014","FEMENINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","21/06/2014","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","09/07/2014","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","22/08/2014","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","VEHICULO","22/08/2014","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
